신규분류요약,판매,판매명,생산,생산명,분리,분리명,사출,사출명
FRP_Color_Sph,T4663,Meido_Vely eye-Color_원형,P4663,Meido_Vely eye-Color_원형,Q4713,(NEW)S38-HD-Dry-14.0,R4713,(NEW)S38-HD-Dry-14.0
FRP_Color_Sph,T4665,Kilala_43%_M083_원형(1년),P4665,Kilala_43%_M083_원형(1년),Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4670,Kilala_38%_XZH_원형(6개월),P4670,Kilala_38%_XZH_원형(6개월),Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4680,Kilala_43%_K24_원형(6개월),P4680,Kilala_43%_K24_원형(6개월),Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4685,Kilala_38%_K5_원형(1년),P4685,Kilala_38%_K5_원형(1년),Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4690,Kilala_43%_K20_원형(1년),P4690,Kilala_43%_K20_원형(1년),Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4691,Clalen iris 2_Azores Gray,P4691,Clalen iris 2_Azores Gray,Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4692,Clalen iris 2_Royal Brown,P4692,Clalen iris 2_Royal Brown,Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4700,Kilala_38%_K46_원형(3개월),P4700,Kilala_38%_K46_원형(3개월),Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4705,Kilala_43%_K47_원형(3개월),P4705,Kilala_43%_K47_원형(3개월),Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4706,Kilala_38%_K48_원형(3개월),P4706,Kilala_38%_K48_원형(3개월),Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4707,Kilala_43%_K47_원형(3개월)_(NEW),P4707,Kilala_43%_K47_원형(3개월)_(NEW),Q4712,(NEW)S43-HD-Dry-14.4,R4712,(NEW)S43-HD-Dry-14.4
FRP_Color_Sph,T4710,Pink Magic_Starlight_Color(원형),P4710,Pink Magic_Starlight_Color(원형),Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4711,Pink Magic_layla_Color(원형),P4711,Pink Magic_layla_Color(원형),Q4711,(NEW)S38-Dry-14.2,R4711,(NEW)S38-Dry-14.2
FRP_Color_Sph,T4712,MG M_Russian Brown_GLAM_(중),P4712,MG M_Russian Brown_GLAM_(중),Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4713,MG M_Russian Gray_GLAM_(중),P4713,MG M_Russian Gray_GLAM_(중),Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4715,Kilala_38%_M106_원형(1년),P4715,Kilala_38%_M106_원형(1년),Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4716,Kilala_38%_M135_원형(6개월),P4716,Kilala_38%_M135_원형(6개월),Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4717,Kilala_38%_M144_원형(6개월),P4717,Kilala_38%_M144_원형(6개월),Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,S750,IKYNY_Hiphop_Mods_BR(2개입),P4718,Clalen Iris_Mods Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S751,IKYNY_Hiphop_Mods_GR(2개입),P4721,Clalen Iris_Mods Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S752,IKYNY_Hiphop_Layered_GR(2개입),P4724,Clalen Iris_Layered Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S753,IKYNY_Hiphop_Layered_RG(2개입),P4727,Clalen Iris_Layered Rose Gold_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S754,IKYNY_Vocal_Mellow_BR(2개입),P4730,Clalen Iris_Mellow Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S755,IKYNY_Vocal_Mellow_GR(2개입),P4733,Clalen Iris_Mellow Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S756,IKYNY_Vocal_Vivid_RO(2개입),P4736,Clalen Iris_Vivid Pink_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S757,IKYNY_Vocal_Vivid_GN(2개입),P4739,Clalen Iris_Vivid Green_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S758,IKYNY_Vocal_Vivid_BL(2개입),P4742,Clalen Iris_Vivid Blue_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S760,IKYNY_Perform_Mystic_RO(2개입),P4745,Clalen Iris_Mystic Pink_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S759,IKYNY_Perform_Mystic_GR(2개입),P4748,Clalen Iris_Mystic Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S761,IKYNY_Perform_Midnight_BR(2개입),P4751,Clalen Iris_Midnight Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S762,IKYNY_Perform_Midnight_DB(2개,P4754,Clalen Iris_Midnight Dark Blue_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4760,Kilala_38%_K24일세대_원형(6개월),P4760,Kilala_38%_K24일세대_원형(6개월),Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4765,Rose_color_원형,P4765,Rose_color_원형,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4770,Kilala_43%_L022_원형(6개월),P4770,Kilala_43%_L022_원형(6개월),Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4771,Kilala_38%_L027_원형(6개월),P4771,Kilala_38%_L027_원형(6개월),Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4772,Kilala_43%_M134_원형(6개월),P4772,Kilala_43%_M134_원형(6개월),Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4773,Kilala_43%_M152_원형(1년),P4773,Kilala_43%_M152_원형(1년),Q4712,(NEW)S43-HD-Dry-14.4,R4712,(NEW)S43-HD-Dry-14.4
FRP_Color_Sph,T4774,Kilala_38%_M154_원형(6개월),P4774,Kilala_38%_M154_원형(6개월),Q4713,(NEW)S38-HD-Dry-14.0,R4713,(NEW)S38-HD-Dry-14.0
1-Day_Color_Sph,S184,Astra Glitter_낱개,P4780,Astra Glitter,Q4780,Astra Glitter,R4780,Astra Glitter
1-Day_Color_Sph,S185,Astra Glitter_30팩,P4780,Astra Glitter,Q4780,Astra Glitter,R4780,Astra Glitter
1-Day_Color_Sph,S192,Astra Glitter_10팩,P4780,Astra Glitter,Q4780,Astra Glitter,R4780,Astra Glitter
1-Day_Color_Sph,T4780,Astra Glitter,P4780,Astra Glitter,Q4780,Astra Glitter,R4780,Astra Glitter
1-Day_Color_Sph,T9901,Astra Glitter_30팩,P4780,Astra Glitter,Q4780,Astra Glitter,R4780,Astra Glitter
1-Day_Color_Sph,T9910,Astra Glitter_10팩,P4780,Astra Glitter,Q4780,Astra Glitter,R4780,Astra Glitter
1-Day_Color_Sph,S186,Astra Estelle Brown_낱개,P4781,Astra Estelle Brown,Q4781,Astra Estelle Brown,R4781,Astra Estelle Brown
1-Day_Color_Sph,S187,Astra Estelle Brown_30팩,P4781,Astra Estelle Brown,Q4781,Astra Estelle Brown,R4781,Astra Estelle Brown
1-Day_Color_Sph,S191,Astra Estelle Brown_10팩,P4781,Astra Estelle Brown,Q4781,Astra Estelle Brown,R4781,Astra Estelle Brown
1-Day_Color_Sph,T4781,Astra Estelle Brown,P4781,Astra Estelle Brown,Q4781,Astra Estelle Brown,R4781,Astra Estelle Brown
1-Day_Color_Sph,T9902,Astra Estelle Brown_30팩,P4781,Astra Estelle Brown,Q4781,Astra Estelle Brown,R4781,Astra Estelle Brown
1-Day_Color_Sph,T9911,Astra Estelle Brown_10팩,P4781,Astra Estelle Brown,Q4781,Astra Estelle Brown,R4781,Astra Estelle Brown
1-Day_Color_Sph,S188,Astra Estelle Gray_낱개,P4782,Astra Estelle Gray,Q4782,Astra Estelle Gray,R4782,Astra Estelle Gray
1-Day_Color_Sph,S189,Astra Estelle Gray_30팩,P4782,Astra Estelle Gray,Q4782,Astra Estelle Gray,R4782,Astra Estelle Gray
1-Day_Color_Sph,S190,Astra Estelle Gray_10팩,P4782,Astra Estelle Gray,Q4782,Astra Estelle Gray,R4782,Astra Estelle Gray
1-Day_Color_Sph,T4782,Astra Estelle Gray,P4782,Astra Estelle Gray,Q4782,Astra Estelle Gray,R4782,Astra Estelle Gray
1-Day_Color_Sph,T9903,Astra Estelle Gray_30팩,P4782,Astra Estelle Gray,Q4782,Astra Estelle Gray,R4782,Astra Estelle Gray
1-Day_Color_Sph,T9912,Astra Estelle Gray_10팩,P4782,Astra Estelle Gray,Q4782,Astra Estelle Gray,R4782,Astra Estelle Gray
FRP_Color_Sph,T4785,Kilala_43%_M083_원형(1년)_NEW,P4785,Kilala_43%_M083_원형(1년)_NEW,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4786,Kilala_43%_K27_원형(1년용)_NEW,P4786,Kilala_43%_K27_원형(1년용)_NEW,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4787,Kilala_43%_K45_원형(1년)_NEW,P4787,Kilala_43%_K45_원형(1년)_NEW,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4788,Kilala_38%_M085_원형(6개월)_NEW,P4788,Kilala_38%_M085_원형(6개월)_NEW,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4789,Kilala_38%_K29_원형(6개월)_NEW,P4789,Kilala_38%_K29_원형(6개월)_NEW,Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4790,Kilala_43%_K24이세대_원형(6개월)_NEW,P4790,Kilala_43%_K24이세대_원형(6개월)_NEW,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4795,NovaChic_38%_Face Titude_원형,P4795,NovaChic_38%_Face Titude_원형,Q4795,S38-HD-Dry-14.2,R4795,S38-HD-Dry-14.2
FRP_Color_Sph,T4800,Celena Natural_중사각,P4800,Celena Natural_중사각,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4805,Celena Shaded_중사각,P4805,Celena Shaded_중사각,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,T4810,Celena Define_중사각,P4810,Celena Define_중사각,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T4811,Freedom380_무지리드지,P4811,Freedom380_무지리드지,Q4821,Freedom380,R4821,Freedom380
1-Day_Color_Sph,T4812,Freedom380_4Care_BL Metha,P4812,Freedom380_4Care_BL Metha,Q4821,Freedom380,R4821,Freedom380
1-Day_Color_Sph,T4813,Celena D_Basil Grey(8년),P4813,Celena D_Basil Grey(8년),Q1004,S55_투명-DRY,R1004,S55_투명-DRY
1-Day_Color_Sph,T4814,Celena D_Aqua Grey(8년),P4814,Celena D_Aqua Grey(8년),Q1004,S55_투명-DRY,R1004,S55_투명-DRY
FRP_Color_Sph,T4815,Cool Color Pearl Series_소사각,P4815,Cool Color Pearl Series_소사각,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T4816,Stylish Grey(8년)_Celena Dailies,P4816,Stylish Grey(8년)_Celena Dailies,Q1004,S55_투명-DRY,R1004,S55_투명-DRY
1-Day_Color_Sph,T4817,Deep Blue(8년)_Celena Dailies,P4817,Deep Blue(8년)_Celena Dailies,Q1004,S55_투명-DRY,R1004,S55_투명-DRY
1-Day_Color_Sph,T4818,Olive Green(8년)_Celena Dailies,P4818,Olive Green(8년)_Celena Dailies,Q1004,S55_투명-DRY,R1004,S55_투명-DRY
1-Day_Color_Sph,T4819,Stylish Hazel(8년)_Celena Dailies,P4819,Stylish Hazel(8년)_Celena Dailies,Q1004,S55_투명-DRY,R1004,S55_투명-DRY
1-Day_Sph,T4820,1-Day_58_Nonni ltd,P4820,1-Day_58_Nonni ltd,Q3081,1-day_58_Kontaktni-HA,R3081,1-day_58_Kontaktni-HA
1-Day_Color_Sph,S193,Freedom380_낱개,P4821,Freedom380,Q4821,Freedom380,R4821,Freedom380
1-Day_Color_Sph,S194,Freedom380_30p,P4821,Freedom380,Q4821,Freedom380,R4821,Freedom380
1-Day_Color_Sph,T4821,Freedom380,P4821,Freedom380,Q4821,Freedom380,R4821,Freedom380
1-Day_Color_Sph,T9913,Freedom380_30p,P4821,Freedom380,Q4821,Freedom380,R4821,Freedom380
1-Day_Color_Sph,T4822,ADRIA_Blue_1-Day,P4822,ADRIA_Blue_1-Day,Q3001,Soleko_Blue,R3001,Soleko_Blue
1-Day_Color_Sph,T4823,ADRIA_Pearl_1-Day,P4823,ADRIA_Pearl_1-Day,Q3002,Soleko_Pearl,R3002,Soleko_Pearl
1-Day_Color_Sph,T4824,ADRIA_Green_1-Day,P4824,ADRIA_Green_1-Day,Q3003,Soleko_Green,R3003,Soleko_Green
1-Day_Color_Sph,T4825,ADRIA_Choco_1-Day,P4825,ADRIA_Choco_1-Day,Q3004,Soleko_Choco,R3004,Soleko_Choco
1-Day_Color_Sph,T4826,ADRIA_Suzy Gray_1-Day,P4826,ADRIA_Suzy Gray_1-Day,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,T4827,ADRIA_Rhapsody_1-Day,P4827,ADRIA_Rhapsody_1-Day,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,T4828,ADRIA_Latin_1-Day,P4828,ADRIA_Latin_1-Day,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Color_Sph,T4829,ADRIA_Alicia Brown_1-Day,P4829,ADRIA_Alicia Brown_1-Day,Q0213,ALICIA BROWN(근시),R0213,ALICIA BROWN(근시)
