품목코드,품명,사출창고,분리창고,검사접착,누수규격,완제품,불용재고
P0010A-00.75SOB,1-Day_iris_SoulBrown,0,0,0,0,625,0
P0011A-00.00JAB,1-Day_iris_JazzBlack,0,0,0,0,8730,0
P0011A-00.50JAB,1-Day_iris_JazzBlack,0,0,0,0,26190,0
P0011A-00.75JAB,1-Day_iris_JazzBlack,0,0,0,0,68105,0
P0011A-01.00JAB,1-Day_iris_JazzBlack,0,0,0,0,20,0
P0011A-01.25JAB,1-Day_iris_JazzBlack,0,0,0,0,2450,0
P0011A-01.50JAB,1-Day_iris_JazzBlack,0,0,0,0,34010,0
P0011A-01.75JAB,1-Day_iris_JazzBlack,0,0,0,0,6260,0
P0011A-02.00JAB,1-Day_iris_JazzBlack,0,0,0,0,24875,0
P0011A-02.25JAB,1-Day_iris_JazzBlack,0,0,0,0,0,0
P0011A-02.50JAB,1-Day_iris_JazzBlack,0,0,0,0,18145,0
P0011A-02.75JAB,1-Day_iris_JazzBlack,0,0,0,0,0,0
P0011A-03.00JAB,1-Day_iris_JazzBlack,0,0,0,0,3770,0
P0011A-03.25JAB,1-Day_iris_JazzBlack,0,0,0,0,2865,0
P0011A-03.50JAB,1-Day_iris_JazzBlack,0,0,0,0,8785,0
P0011A-03.75JAB,1-Day_iris_JazzBlack,0,0,0,0,2055,0
P0011A-04.00JAB,1-Day_iris_JazzBlack,0,0,0,0,31795,0
P0011A-04.25JAB,1-Day_iris_JazzBlack,0,0,0,0,5355,0
P0011A-04.50JAB,1-Day_iris_JazzBlack,0,0,0,0,1980,0
P0011A-04.75JAB,1-Day_iris_JazzBlack,0,0,0,0,0,0
P0011A-05.00JAB,1-Day_iris_JazzBlack,0,0,0,0,6735,0
P0011A-05.25JAB,1-Day_iris_JazzBlack,0,0,0,0,4280,0
P0011A-05.50JAB,1-Day_iris_JazzBlack,0,0,0,0,0,0
P0011A-05.75JAB,1-Day_iris_JazzBlack,0,0,0,0,2165,0
P0011A-06.00JAB,1-Day_iris_JazzBlack,0,0,0,0,5,0
P0011A-06.50JAB,1-Day_iris_JazzBlack,0,0,0,0,0,0
P0011A-07.00JAB,1-Day_iris_JazzBlack,0,0,0,0,85,0
P0011A-07.50JAB,1-Day_iris_JazzBlack,0,0,0,0,0,0
P0011A-08.00JAB,1-Day_iris_JazzBlack,0,0,0,0,2375,0
P0011A-08.50JAB,1-Day_iris_JazzBlack,0,0,0,0,5180,0
P0011A-09.00JAB,1-Day_iris_JazzBlack,0,0,0,0,10875,0
P0011A-09.50JAB,1-Day_iris_JazzBlack,0,0,0,0,29920,0
P0011A-10.00JAB,1-Day_iris_JazzBlack,0,0,0,0,4960,0
P0013A+00.50,1-Day_Contakt,0,0,0,0,1620,0
P0013A+00.75,1-Day_Contakt,0,0,0,0,1105,0
P0013A+01.25,1-Day_Contakt,0,0,0,0,530,0
P0013A+01.75,1-Day_Contakt,0,0,0,0,450,0
P0013A+02.75,1-Day_Contakt,0,0,0,0,2500,0
P0013A+03.25,1-Day_Contakt,0,0,0,0,2405,0
P0013A+03.50,1-Day_Contakt,0,0,0,0,1185,0
P0013A+03.75,1-Day_Contakt,0,0,0,0,2185,0
P0013A+04.00,1-Day_Contakt,0,0,0,0,1820,0
P0013A+04.25,1-Day_Contakt,0,0,0,0,2290,0
P0013A+05.00,1-Day_Contakt,0,0,0,0,2360,0
P0013A+05.50,1-Day_Contakt,0,0,0,0,545,0
P0013A-00.00,1-Day_Contakt,0,0,0,0,2260,0
P0013A-00.25,1-Day_Contakt,0,0,0,0,2245,0
P0013A-00.50,1-Day_Contakt,0,0,0,0,2110,0
P0013A-00.75,1-Day_Contakt,0,0,0,0,4630,0
P0013A-01.00,1-Day_Contakt,0,0,0,0,2615,0
P0013A-01.25,1-Day_Contakt,0,0,0,0,12205,0
P0013A-01.50,1-Day_Contakt,0,0,0,0,6770,0
P0013A-01.75,1-Day_Contakt,0,0,0,0,4865,0
P0013A-02.00,1-Day_Contakt,0,0,0,0,14845,0
P0013A-02.25,1-Day_Contakt,0,0,0,0,11445,0
P0013A-02.50,1-Day_Contakt,0,0,0,0,12365,0
P0013A-02.75,1-Day_Contakt,0,0,0,0,10370,0
P0013A-03.00,1-Day_Contakt,0,0,0,0,3880,0
P0013A-03.25,1-Day_Contakt,0,0,0,0,6455,0
P0013A-03.50,1-Day_Contakt,0,0,0,0,5260,0
P0013A-03.75,1-Day_Contakt,0,0,0,0,9450,0
P0013A-04.00,1-Day_Contakt,0,0,0,0,535,0
P0013A-04.25,1-Day_Contakt,0,0,0,0,1100,0
P0013A-04.50,1-Day_Contakt,0,0,0,0,7675,0
P0013A-04.75,1-Day_Contakt,0,0,0,0,3355,0
P0013A-05.00,1-Day_Contakt,0,0,0,0,5795,0
P0013A-05.25,1-Day_Contakt,0,0,0,0,3510,0
P0013A-05.50,1-Day_Contakt,0,0,0,0,2700,0
P0013A-05.75,1-Day_Contakt,0,0,0,0,3555,0
P0013A-06.00,1-Day_Contakt,0,0,0,0,3820,0
P0013A-06.50,1-Day_Contakt,0,0,0,0,855,0
P0013A-07.00,1-Day_Contakt,0,0,0,0,2600,0
P0013A-07.50,1-Day_Contakt,0,0,0,0,850,0
P0013A-08.00,1-Day_Contakt,0,0,0,0,7480,0
