생산일자,판매코드,판매명,품목코드,제품명,실적수량,수주번호,이니셜,구분
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,690,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,480,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,600,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,720,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,540,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,390,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,720,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,510,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,510,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,600,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,450,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,780,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,720,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,570,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,930,202601050001.0,,국내
2026-01-27,S615-02.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.75SPC,O2O2 D_Sepia Choco EX,"1,380",202601050001.0,,국내
2026-01-27,S615-02.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.75SPC,O2O2 D_Sepia Choco EX,"1,620",202601050001.0,,국내
2026-01-27,S615-02.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.75SPC,O2O2 D_Sepia Choco EX,"1,560",202601050001.0,,국내
2026-01-27,S615-02.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.75SPC,O2O2 D_Sepia Choco EX,"1,260",202601050001.0,,국내
2026-01-27,S615-02.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.75SPC,O2O2 D_Sepia Choco EX,"1,080",202601050001.0,,국내
2026-01-27,S615-02.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.75SPC,O2O2 D_Sepia Choco EX,870,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,60,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,"1,020",202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,720,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,600,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,990,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,450,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,510,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,600,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,450,202601050001.0,,국내
2026-01-27,S615-03.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-03.00SPC,O2O2 D_Sepia Choco EX,840,202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,350",202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,740",202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,140",202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,320",202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,170",202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,360,202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,180,202601050001.0,,국내
2026-01-27,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,360,202601050001.0,,국내
2026-01-28,S615-01.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-01.75SPC,O2O2 D_Sepia Choco EX,870,202601050001.0,,국내
